datetime,price
6/28/2017 3:03,2557.97
6/28/2017 3:04,2354.47
6/28/2017 3:04,2557.97
6/28/2017 3:05,2355.64
6/28/2017 3:05,2555.59
6/28/2017 3:06,2360
6/28/2017 3:06,2556.5
6/28/2017 3:07,2354.75
6/28/2017 3:07,2559.99
6/28/2017 3:08,2354.96
6/28/2017 3:08,2551.46
6/28/2017 3:09,2348.76
6/28/2017 3:09,2550.73
6/28/2017 3:10,2351.99
6/28/2017 3:10,2549.58
6/28/2017 3:11,2351.93
6/28/2017 3:11,2550.73
6/28/2017 3:12,2352
6/28/2017 3:12,2546.84
6/28/2017 3:13,2345
6/28/2017 3:13,2541.61
6/28/2017 3:14,2348.8
6/28/2017 3:14,2532.66
6/28/2017 3:15,2340.93
6/28/2017 3:15,2533.97
6/28/2017 3:16,2341.11
6/28/2017 3:16,2536.11
6/28/2017 3:17,2337.78
6/28/2017 3:17,2534.84
6/28/2017 3:18,2345.98
6/28/2017 3:18,2535.85
6/28/2017 3:19,2347.67
6/28/2017 3:19,2536.24
6/28/2017 3:20,2347.67
6/28/2017 3:20,2533.2
6/28/2017 3:21,2347.04
6/28/2017 3:21,2534.44
6/28/2017 3:22,2346.92
6/28/2017 3:22,2539.5
6/28/2017 3:23,2346.93
6/28/2017 3:23,2545.67
6/28/2017 3:24,2352
6/28/2017 3:24,2550.14
6/28/2017 3:25,2353.39
6/28/2017 3:25,2543.92
6/28/2017 3:26,2351.87
6/28/2017 3:26,2543.92
6/28/2017 3:27,2355.97
6/28/2017 3:27,2554.77
6/28/2017 3:28,2361.39
6/28/2017 3:28,2559.41
6/28/2017 3:29,2362
6/28/2017 3:29,2558.08
6/28/2017 3:30,2354.17
6/28/2017 3:30,2550.73
6/28/2017 3:31,2363.76
6/28/2017 3:31,2550.73
6/28/2017 3:32,2363.9
6/28/2017 3:32,2550.73
6/28/2017 3:33,2361.83
6/28/2017 3:33,2559.38
6/28/2017 3:34,2363.46
6/28/2017 3:34,2559.38
6/28/2017 3:35,2363.29
6/28/2017 3:35,2555.95
6/28/2017 3:36,2363.29
6/28/2017 3:36,2543.49
6/28/2017 3:37,2360.04
6/28/2017 3:37,2543.49
6/28/2017 3:38,2357.8
6/28/2017 3:38,2555.91
6/28/2017 3:39,2370
6/28/2017 3:39,2560
6/28/2017 3:40,2366.73
6/28/2017 3:40,2560
6/28/2017 3:41,2366.73
6/28/2017 3:41,2567.06
6/28/2017 3:42,2370.05
6/28/2017 3:42,2565.23
6/28/2017 3:43,2369.99
6/28/2017 3:43,2565.23
6/28/2017 3:44,2370
6/28/2017 3:44,2567.05
6/28/2017 3:45,2370.44
6/28/2017 3:45,2571.28
6/28/2017 3:46,2371.5
6/28/2017 3:46,2571.28
6/28/2017 3:47,2366.7
6/28/2017 3:47,2571.28
6/28/2017 3:48,2366.67
6/28/2017 3:48,2571.2
6/28/2017 3:49,2365.39
6/28/2017 3:49,2565.23
6/28/2017 3:50,2365.24
6/28/2017 3:50,2565.23
6/28/2017 3:51,2364.74
6/28/2017 3:51,2557.99
6/28/2017 3:52,2366
6/28/2017 3:52,2565.23
6/28/2017 3:53,2367.68
6/28/2017 3:53,2553.62
6/28/2017 3:54,2367.59
6/28/2017 3:54,2554.24
6/28/2017 3:55,2367.73
6/28/2017 3:55,2564.46
6/28/2017 3:56,2371.92
6/28/2017 3:56,2551.46
6/28/2017 3:57,2371.99
6/28/2017 3:57,2559.33
6/28/2017 3:58,2374
6/28/2017 3:58,2561.21
6/28/2017 3:59,2373.43
6/28/2017 3:59,2554.74
6/28/2017 4:00,2374.99
6/28/2017 4:00,2557.98
6/28/2017 4:01,2373.99
6/28/2017 4:01,2554.69
6/28/2017 4:02,2374.1
6/28/2017 4:02,2561.26
6/28/2017 4:03,2376.18
6/28/2017 4:03,2562.4
6/28/2017 4:04,2380
6/28/2017 4:04,2560.29
6/28/2017 4:05,2387
6/28/2017 4:05,2562.35
6/28/2017 4:06,2385.48
6/28/2017 4:06,2565.24
6/28/2017 4:07,2387.84
6/28/2017 4:07,2565.23
6/28/2017 4:08,2387.7
6/28/2017 4:08,2569.97
6/28/2017 4:09,2385.63
6/28/2017 4:09,2569.97
